LTspice Variable,Value (Full Precision),Unit
V(drain),6.853134933354084,V
V(gate),3.5999999046325684,V
V(source),1.6469968557357788,V
V(s_mid),1.3832199573516846,V
V(vdd),12.0,V
V(vin),0.0,V
V(vout),6.853066588519141e-05,V
Id(M1),3.2167958561331034,mA
Ig(M1),0.0,mA
Ib(M1),-5.216138285191185e-09,mA
Is(M1),-3.2167958561331034,mA
I(Cs),-1.3832200229895434e-13,mA
I(Cin),3.5999998754161235e-14,mA
I(Cout),-6.853066305293216e-14,mA
I(Rs1),3.216790733858943,mA
I(Rd),3.216790733858943,mA
I(Rs2),3.216790733858943,mA
I(R1),0.09230769501300529,mA
I(R2),0.09230769501300529,mA
I(V1),-3.309098305180669,mA
I(V2),3.5999998754161235e-14,mA
